slow_patch_forced_choice,medium_patch_forced_choice,fast_patch_forced_choice,slow_patch_free_choice,medium_patch_free_choice,fast_patch_free_choice
0.293103448275862,0.379310344827586,0.327586206896552,0.317460317460317,0.333333333333333,0.349206349206349
0.396551724137931,0.327586206896552,0.275862068965517,0.274193548387097,0.354838709677419,0.370967741935484
0.316666666666667,0.383333333333333,0.3,0.285714285714286,0.339285714285714,0.375
0.327586206896552,0.310344827586207,0.362068965517241,0.294117647058824,0.352941176470588,0.352941176470588
0.3375,0.325,0.3375,0.290697674418605,0.36046511627907,0.348837209302326
0.339622641509434,0.320754716981132,0.339622641509434,0.218181818181818,0.381818181818182,0.4
0.352941176470588,0.254901960784314,0.392156862745098,0.325581395348837,0.302325581395349,0.372093023255814
0.333333333333333,0.372549019607843,0.294117647058824,0.313725490196078,0.333333333333333,0.352941176470588
0.306451612903226,0.370967741935484,0.32258064516129,0.318840579710145,0.347826086956522,0.333333333333333
0.337078651685393,0.348314606741573,0.314606741573034,0.329896907216495,0.329896907216495,0.34020618556701
0.416666666666667,0.270833333333333,0.3125,0.260869565217391,0.347826086956522,0.391304347826087
0.3125,0.3125,0.375,0.291666666666667,0.354166666666667,0.354166666666667
0.325,0.3,0.375,0.361111111111111,0.305555555555556,0.333333333333333
0.39622641509434,0.30188679245283,0.30188679245283,0.296296296296296,0.333333333333333,0.37037037037037
0.269230769230769,0.365384615384615,0.365384615384615,0.294117647058824,0.352941176470588,0.352941176470588
0.270833333333333,0.375,0.354166666666667,0.342105263157895,0.315789473684211,0.342105263157895
0.375,0.265625,0.359375,0.280701754385965,0.350877192982456,0.368421052631579
0.338028169014085,0.338028169014085,0.323943661971831,0.333333333333333,0.333333333333333,0.333333333333333
0.375,0.354166666666667,0.270833333333333,0.296296296296296,0.333333333333333,0.37037037037037
0.339622641509434,0.320754716981132,0.339622641509434,0.25,0.346153846153846,0.403846153846154
0.275,0.375,0.35,0.321428571428571,0.303571428571429,0.375
0.290909090909091,0.290909090909091,0.418181818181818,0.310810810810811,0.364864864864865,0.324324324324324
0.392857142857143,0.267857142857143,0.339285714285714,0.262295081967213,0.360655737704918,0.377049180327869
0.344827586206897,0.379310344827586,0.275862068965517,0.228070175438596,0.385964912280702,0.385964912280702
0.326530612244898,0.26530612244898,0.408163265306122,0.276595744680851,0.319148936170213,0.404255319148936
0.345794392523364,0.336448598130841,0.317757009345794,0.264705882352941,0.382352941176471,0.352941176470588
0.341463414634146,0.365853658536585,0.292682926829268,0.307692307692308,0.307692307692308,0.384615384615385
0.350877192982456,0.315789473684211,0.333333333333333,0.353846153846154,0.323076923076923,0.323076923076923
0.340425531914894,0.361702127659574,0.297872340425532,0.351851851851852,0.333333333333333,0.314814814814815
0.403508771929825,0.315789473684211,0.280701754385965,0.294117647058824,0.352941176470588,0.352941176470588
0.338709677419355,0.354838709677419,0.306451612903226,0.273972602739726,0.328767123287671,0.397260273972603
0.358974358974359,0.358974358974359,0.282051282051282,0.315789473684211,0.342105263157895,0.342105263157895
0.318181818181818,0.363636363636364,0.318181818181818,0.266666666666667,0.355555555555556,0.377777777777778
0.38,0.26,0.36,0.254901960784314,0.352941176470588,0.392156862745098
0.368421052631579,0.280701754385965,0.350877192982456,0.303571428571429,0.267857142857143,0.428571428571429
0.3,0.371428571428571,0.328571428571429,0.272727272727273,0.318181818181818,0.409090909090909
0.328358208955224,0.328358208955224,0.343283582089552,0.245901639344262,0.377049180327869,0.377049180327869
0.363636363636364,0.345454545454545,0.290909090909091,0.26530612244898,0.326530612244898,0.408163265306122
0.318181818181818,0.363636363636364,0.318181818181818,0.304347826086957,0.347826086956522,0.347826086956522
0.355263157894737,0.368421052631579,0.276315789473684,0.266666666666667,0.361904761904762,0.371428571428571
0.372881355932203,0.338983050847458,0.288135593220339,0.233333333333333,0.383333333333333,0.383333333333333
0.307692307692308,0.326923076923077,0.365384615384615,0.266666666666667,0.366666666666667,0.366666666666667
0.320987654320988,0.37037037037037,0.308641975308642,0.25,0.326086956521739,0.423913043478261
0.345454545454545,0.309090909090909,0.345454545454545,0.339285714285714,0.321428571428571,0.339285714285714
0.368421052631579,0.315789473684211,0.315789473684211,0.292682926829268,0.365853658536585,0.341463414634146
0.379310344827586,0.344827586206897,0.275862068965517,0.241379310344828,0.362068965517241,0.396551724137931
0.396551724137931,0.293103448275862,0.310344827586207,0.27027027027027,0.337837837837838,0.391891891891892
0.285714285714286,0.380952380952381,0.333333333333333,0.35,0.3,0.35
0.26530612244898,0.346938775510204,0.387755102040816,0.28,0.36,0.36
0.342105263157895,0.276315789473684,0.381578947368421,0.308823529411765,0.338235294117647,0.352941176470588
0.333333333333333,0.316666666666667,0.35,0.241379310344828,0.362068965517241,0.396551724137931
0.369230769230769,0.307692307692308,0.323076923076923,0.328125,0.34375,0.328125
0.373493975903614,0.325301204819277,0.301204819277108,0.307692307692308,0.346153846153846,0.346153846153846
0.333333333333333,0.285714285714286,0.380952380952381,0.304878048780488,0.353658536585366,0.341463414634146
0.348484848484849,0.318181818181818,0.333333333333333,0.25,0.380952380952381,0.369047619047619
0.37037037037037,0.388888888888889,0.240740740740741,0.290909090909091,0.345454545454545,0.363636363636364
0.294117647058824,0.372549019607843,0.333333333333333,0.274509803921569,0.352941176470588,0.372549019607843
0.314285714285714,0.314285714285714,0.371428571428571,0.317073170731707,0.365853658536585,0.317073170731707
0.328125,0.359375,0.3125,0.231884057971014,0.405797101449275,0.36231884057971
0.380952380952381,0.30952380952381,0.30952380952381,0.255813953488372,0.372093023255814,0.372093023255814
